  "Time"          "Temp"          "Pres"          "Dens"          "Th_MIX"        "X_OH*"         "X_H"           "X_H2"          "X_O"           "X_O2"          "X_OH"          "X_HO2"         "X_H2O2"        "X_H2O"         "X_AR"         
  "s"             "K"             "Pa"            "kg/m3"         "s"             "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"         
    0.000000        496.3384       0.5417804E+10    15766.08       0.1442906E-03   0.4633770E-41   0.3942392E-18   0.6667000       0.1597358E-20   0.3333000       0.1428222E-15   0.5154559E-10   0.2569096E-13   0.5155387E-10    0.000000    
   0.6141401E-13    496.3384       0.5417804E+10    15766.08       0.1442905E-03   0.4633769E-41   0.3942392E-18   0.6667000       0.1597358E-20   0.3333000       0.1428222E-15   0.5154559E-10   0.2569096E-13   0.5155387E-10    0.000000    
   0.1842420E-12    496.3384       0.5417804E+10    15766.08       0.1442905E-03   0.4633768E-41   0.3942391E-18   0.6667000       0.1597358E-20   0.3333000       0.1428222E-15   0.5154559E-10   0.2569096E-13   0.5155387E-10    0.000000    
   0.4298981E-12    496.3384       0.5417804E+10    15766.08       0.1442906E-03   0.4633769E-41   0.3942392E-18   0.6667000       0.1597358E-20   0.3333000       0.1428222E-15   0.5154559E-10   0.2569096E-13   0.5155387E-10    0.000000    
   0.9212102E-12    496.3384       0.5417804E+10    15766.08       0.1442905E-03   0.4633767E-41   0.3942391E-18   0.6667000       0.1597358E-20   0.3333000       0.1428222E-15   0.5154560E-10   0.2569097E-13   0.5155388E-10    0.000000    
   0.1903834E-11    496.3384       0.5417803E+10    15766.08       0.1442905E-03   0.4633764E-41   0.3942390E-18   0.6667000       0.1597358E-20   0.3333000       0.1428222E-15   0.5154561E-10   0.2569098E-13   0.5155389E-10    0.000000    
   0.3869083E-11    496.3383       0.5417802E+10    15766.08       0.1442904E-03   0.4633758E-41   0.3942387E-18   0.6667000       0.1597358E-20   0.3333000       0.1428221E-15   0.5154563E-10   0.2569100E-13   0.5155391E-10    0.000000    
   0.7799580E-11    496.3383       0.5417799E+10    15766.07       0.1442902E-03   0.4633743E-41   0.3942379E-18   0.6667000       0.1597358E-20   0.3333000       0.1428219E-15   0.5154567E-10   0.2569104E-13   0.5155395E-10    0.000000    
   0.1566057E-10    496.3381       0.5417794E+10    15766.06       0.1442894E-03   0.4633703E-41   0.3942356E-18   0.6667000       0.1597358E-20   0.3333000       0.1428212E-15   0.5154574E-10   0.2569113E-13   0.5155402E-10    0.000000    
   0.3138256E-10    496.3379       0.5417784E+10    15766.04       0.1442870E-03   0.4633603E-41   0.3942292E-18   0.6667000       0.1597357E-20   0.3333000       0.1428192E-15   0.5154590E-10   0.2569129E-13   0.5155418E-10    0.000000    
   0.6282654E-10    496.3373       0.5417763E+10    15766.00       0.1442812E-03   0.4633366E-41   0.3942139E-18   0.6667000       0.1597354E-20   0.3333000       0.1428144E-15   0.5154621E-10   0.2569162E-13   0.5155449E-10    0.000000    
   0.1257145E-09    496.3363       0.5417722E+10    15765.91       0.1442684E-03   0.4632826E-41   0.3941809E-18   0.6667000       0.1597334E-20   0.3333000       0.1428037E-15   0.5154682E-10   0.2569229E-13   0.5155510E-10    0.000000    
   0.2514904E-09    496.3342       0.5417639E+10    15765.74       0.1442432E-03   0.4631652E-41   0.3941156E-18   0.6667000       0.1597259E-20   0.3333000       0.1427827E-15   0.5154806E-10   0.2569362E-13   0.5155634E-10    0.000000    
   0.5030422E-09    496.3300       0.5417474E+10    15765.39       0.1441929E-03   0.4628985E-41   0.3939854E-18   0.6667000       0.1596997E-20   0.3333000       0.1427408E-15   0.5155052E-10   0.2569628E-13   0.5155880E-10    0.000000    
   0.7545940E-09    496.3258       0.5417308E+10    15765.04       0.1441427E-03   0.4626073E-41   0.3938551E-18   0.6667000       0.1596650E-20   0.3333000       0.1426989E-15   0.5155299E-10   0.2569893E-13   0.5156127E-10    0.000000    
   0.1006146E-08    496.3215       0.5417143E+10    15764.70       0.1440924E-03   0.4622972E-41   0.3937249E-18   0.6667000       0.1596238E-20   0.3333000       0.1426570E-15   0.5155545E-10   0.2570159E-13   0.5156373E-10    0.000000    
   0.1509249E-08    496.3131       0.5416812E+10    15764.00       0.1439920E-03   0.4616458E-41   0.3934644E-18   0.6667000       0.1595304E-20   0.3333000       0.1425732E-15   0.5156037E-10   0.2570690E-13   0.5156866E-10    0.000000    
   0.2012353E-08    496.3046       0.5416481E+10    15763.30       0.1438915E-03   0.4609560E-41   0.3932040E-18   0.6667000       0.1594235E-20   0.3333000       0.1424894E-15   0.5156530E-10   0.2571222E-13   0.5157358E-10    0.000000    
   0.2515457E-08    496.2962       0.5416149E+10    15762.61       0.1437911E-03   0.4602418E-41   0.3929437E-18   0.6667000       0.1593079E-20   0.3333000       0.1424056E-15   0.5157021E-10   0.2571753E-13   0.5157851E-10    0.000000    
   0.3521664E-08    496.2793       0.5415486E+10    15761.22       0.1435903E-03   0.4587842E-41   0.3924232E-18   0.6667000       0.1590660E-20   0.3333000       0.1422381E-15   0.5158004E-10   0.2572815E-13   0.5158834E-10    0.000000    
   0.4527871E-08    496.2624       0.5414823E+10    15759.82       0.1433896E-03   0.4573065E-41   0.3919029E-18   0.6667000       0.1588161E-20   0.3333000       0.1420706E-15   0.5158985E-10   0.2573876E-13   0.5159815E-10    0.000000    
   0.6540285E-08    496.2285       0.5413495E+10    15757.03       0.1429887E-03   0.4543521E-41   0.3908632E-18   0.6667000       0.1583134E-20   0.3333000       0.1417358E-15   0.5160943E-10   0.2575997E-13   0.5161774E-10    0.000000    
   0.8552700E-08    496.1946       0.5412166E+10    15754.24       0.1425884E-03   0.4514079E-41   0.3898250E-18   0.6667000       0.1578099E-20   0.3333000       0.1414014E-15   0.5162895E-10   0.2578116E-13   0.5163728E-10    0.000000    
   0.1056511E-07    496.1606       0.5410836E+10    15751.45       0.1421888E-03   0.4484815E-41   0.3887886E-18   0.6667000       0.1573079E-20   0.3333000       0.1410675E-15   0.5164842E-10   0.2580233E-13   0.5165675E-10    0.000000    
   0.1257753E-07    496.1267       0.5409505E+10    15748.65       0.1417901E-03   0.4455735E-41   0.3877544E-18   0.6667000       0.1568077E-20   0.3333000       0.1407342E-15   0.5166783E-10   0.2582347E-13   0.5167617E-10    0.000000    
   0.1660236E-07    496.0588       0.5406846E+10    15743.06       0.1409961E-03   0.4398145E-41   0.3856941E-18   0.6667000       0.1558122E-20   0.3333000       0.1400699E-15   0.5170649E-10   0.2586570E-13   0.5171485E-10    0.000000    
   0.2019785E-07    495.9982       0.5404475E+10    15738.08       0.1402914E-03   0.4347382E-41   0.3838652E-18   0.6667000       0.1549290E-20   0.3333000       0.1394799E-15   0.5174084E-10   0.2590335E-13   0.5174921E-10    0.000000    
   0.2265997E-07    495.9568       0.5402854E+10    15734.67       0.1398114E-03   0.4312999E-41   0.3826192E-18   0.6667000       0.1543278E-20   0.3333000       0.1390777E-15   0.5176425E-10   0.2592910E-13   0.5177264E-10    0.000000    
   0.2512209E-07    495.9154       0.5401233E+10    15731.27       0.1393331E-03   0.4278897E-41   0.3813773E-18   0.6667000       0.1537292E-20   0.3333000       0.1386767E-15   0.5178759E-10   0.2595481E-13   0.5179599E-10    0.000000    
   0.2758420E-07    495.8740       0.5399613E+10    15727.86       0.1388563E-03   0.4245052E-41   0.3801389E-18   0.6667000       0.1531328E-20   0.3333000       0.1382768E-15   0.5181084E-10   0.2598049E-13   0.5181925E-10    0.000000    
   0.3004632E-07    495.8326       0.5397992E+10    15724.46       0.1383808E-03   0.4211455E-41   0.3789038E-18   0.6667000       0.1525383E-20   0.3333000       0.1378777E-15   0.5183401E-10   0.2600613E-13   0.5184243E-10    0.000000    
   0.3250844E-07    495.7911       0.5396371E+10    15721.05       0.1379066E-03   0.4178105E-41   0.3776721E-18   0.6667000       0.1519458E-20   0.3333000       0.1374795E-15   0.5185710E-10   0.2603175E-13   0.5186553E-10    0.000000    
   0.3497055E-07    495.7497       0.5394750E+10    15717.64       0.1374340E-03   0.4145009E-41   0.3764441E-18   0.6667000       0.1513554E-20   0.3333000       0.1370825E-15   0.5188011E-10   0.2605733E-13   0.5188855E-10    0.000000    
   0.3743267E-07    495.7082       0.5393130E+10    15714.23       0.1369631E-03   0.4112180E-41   0.3752203E-18   0.6667000       0.1507673E-20   0.3333000       0.1366866E-15   0.5190303E-10   0.2608289E-13   0.5191149E-10    0.000000    
   0.3989479E-07    495.6668       0.5391512E+10    15710.83       0.1364941E-03   0.4079624E-41   0.3740010E-18   0.6667000       0.1501817E-20   0.3333000       0.1362921E-15   0.5192588E-10   0.2610841E-13   0.5193435E-10    0.000000    
   0.4235690E-07    495.6254       0.5389895E+10    15707.43       0.1360269E-03   0.4047345E-41   0.3727864E-18   0.6667000       0.1495987E-20   0.3333000       0.1358989E-15   0.5194864E-10   0.2613390E-13   0.5195713E-10    0.000000    
   0.4481902E-07    495.5841       0.5388279E+10    15704.03       0.1355615E-03   0.4015337E-41   0.3715764E-18   0.6667000       0.1490183E-20   0.3333000       0.1355071E-15   0.5197133E-10   0.2615935E-13   0.5197982E-10    0.000000    
   0.4728114E-07    495.5427       0.5386665E+10    15700.64       0.1350978E-03   0.3983587E-41   0.3703703E-18   0.6667000       0.1484402E-20   0.3333000       0.1351164E-15   0.5199393E-10   0.2618478E-13   0.5200244E-10    0.000000    
   0.4974325E-07    495.5014       0.5385049E+10    15697.24       0.1346353E-03   0.3952072E-41   0.3691674E-18   0.6667000       0.1478642E-20   0.3333000       0.1347266E-15   0.5201646E-10   0.2621017E-13   0.5202498E-10    0.000000    
   0.5220537E-07    495.4600       0.5383434E+10    15693.84       0.1341743E-03   0.3920789E-41   0.3679678E-18   0.6667000       0.1472901E-20   0.3333000       0.1343377E-15   0.5203891E-10   0.2623553E-13   0.5204744E-10    0.000000    
   0.5466748E-07    495.4186       0.5381819E+10    15690.44       0.1337148E-03   0.3889755E-41   0.3667723E-18   0.6667000       0.1467181E-20   0.3333000       0.1339500E-15   0.5206127E-10   0.2626086E-13   0.5206982E-10    0.000000    
   0.5712960E-07    495.3773       0.5380207E+10    15687.05       0.1332572E-03   0.3858982E-41   0.3655814E-18   0.6667000       0.1461486E-20   0.3333000       0.1335636E-15   0.5208356E-10   0.2628616E-13   0.5209212E-10    0.000000    
   0.5959172E-07    495.3360       0.5378595E+10    15683.66       0.1328014E-03   0.3828464E-41   0.3643947E-18   0.6667000       0.1455815E-20   0.3333000       0.1331785E-15   0.5210577E-10   0.2631143E-13   0.5211434E-10    0.000000    
   0.6205383E-07    495.2947       0.5376983E+10    15680.27       0.1323469E-03   0.3798180E-41   0.3632114E-18   0.6667000       0.1450166E-20   0.3333000       0.1327943E-15   0.5212791E-10   0.2633666E-13   0.5213648E-10    0.000000    
   0.6451595E-07    495.2533       0.5375371E+10    15676.87       0.1318938E-03   0.3768124E-41   0.3620315E-18   0.6667000       0.1444537E-20   0.3333000       0.1324111E-15   0.5214996E-10   0.2636186E-13   0.5215855E-10    0.000000    
   0.6697807E-07    495.2120       0.5373760E+10    15673.48       0.1314422E-03   0.3738303E-41   0.3608554E-18   0.6667000       0.1438929E-20   0.3333000       0.1320290E-15   0.5217194E-10   0.2638704E-13   0.5218054E-10    0.000000    
   0.6944018E-07    495.1707       0.5372150E+10    15670.09       0.1309923E-03   0.3708725E-41   0.3596836E-18   0.6667000       0.1433343E-20   0.3333000       0.1316482E-15   0.5219384E-10   0.2641217E-13   0.5220245E-10    0.000000    
   0.7190230E-07    495.1294       0.5370541E+10    15666.71       0.1305442E-03   0.3679394E-41   0.3585160E-18   0.6667000       0.1427781E-20   0.3333000       0.1312685E-15   0.5221566E-10   0.2643728E-13   0.5222429E-10    0.000000    
   0.7436442E-07    495.0882       0.5368934E+10    15663.32       0.1300978E-03   0.3650306E-41   0.3573526E-18   0.6667000       0.1422243E-20   0.3333000       0.1308902E-15   0.5223741E-10   0.2646236E-13   0.5224604E-10    0.000000    
   0.7682653E-07    495.0469       0.5367328E+10    15659.94       0.1296530E-03   0.3621455E-41   0.3561933E-18   0.6667000       0.1416728E-20   0.3333000       0.1305130E-15   0.5225908E-10   0.2648741E-13   0.5226773E-10    0.000000    
   0.7928865E-07    495.0057       0.5365722E+10    15656.56       0.1292097E-03   0.3592833E-41   0.3550377E-18   0.6667000       0.1411235E-20   0.3333000       0.1301368E-15   0.5228067E-10   0.2651242E-13   0.5228933E-10    0.000000    
   0.8421288E-07    494.9232       0.5362510E+10    15649.80       0.1283271E-03   0.3536232E-41   0.3527362E-18   0.6667000       0.1400307E-20   0.3333000       0.1293873E-15   0.5232363E-10   0.2656235E-13   0.5233231E-10    0.000000    
   0.8719375E-07    494.8732       0.5360564E+10    15645.70       0.1277952E-03   0.3502369E-41   0.3513489E-18   0.6667000       0.1393726E-20   0.3333000       0.1289352E-15   0.5234949E-10   0.2659252E-13   0.5235819E-10    0.000000    
   0.9017461E-07    494.8233       0.5358620E+10    15641.60       0.1272656E-03   0.3468834E-41   0.3499674E-18   0.6667000       0.1387175E-20   0.3333000       0.1284848E-15   0.5237524E-10   0.2662264E-13   0.5238395E-10    0.000000    
   0.9284450E-07    494.7786       0.5356883E+10    15637.95       0.1267939E-03   0.3439110E-41   0.3487365E-18   0.6667000       0.1381341E-20   0.3333000       0.1280834E-15   0.5239820E-10   0.2664958E-13   0.5240693E-10    0.000000    
   0.9481637E-07    494.7457       0.5355602E+10    15635.25       0.1264470E-03   0.3417344E-41   0.3478311E-18   0.6667000       0.1377053E-20   0.3333000       0.1277880E-15   0.5241511E-10   0.2666945E-13   0.5242385E-10    0.000000    
   0.9678825E-07    494.7127       0.5354320E+10    15632.55       0.1261009E-03   0.3395713E-41   0.3469277E-18   0.6667000       0.1372778E-20   0.3333000       0.1274932E-15   0.5243197E-10   0.2668930E-13   0.5244072E-10    0.000000    
   0.9876012E-07    494.6797       0.5353037E+10    15629.84       0.1257552E-03   0.3374189E-41   0.3460251E-18   0.6667000       0.1368513E-20   0.3333000       0.1271985E-15   0.5244879E-10   0.2670913E-13   0.5245754E-10    0.000000    
   0.1007320E-06    494.6466       0.5351752E+10    15627.13       0.1254100E-03   0.3352771E-41   0.3451237E-18   0.6667000       0.1364254E-20   0.3333000       0.1269042E-15   0.5246555E-10   0.2672895E-13   0.5247432E-10    0.000000    
   0.1025067E-06    494.6169       0.5350596E+10    15624.70       0.1251000E-03   0.3333602E-41   0.3443142E-18   0.6667000       0.1360429E-20   0.3333000       0.1266398E-15   0.5248060E-10   0.2674676E-13   0.5248937E-10    0.000000    
   0.1042814E-06    494.5872       0.5349441E+10    15622.26       0.1247911E-03   0.3314557E-41   0.3435075E-18   0.6667000       0.1356617E-20   0.3333000       0.1263762E-15   0.5249561E-10   0.2676456E-13   0.5250439E-10    0.000000    
