  "Time"          "Temp"          "Pres"          "Dens"          "Th_MIX"        "X_OH*"         "X_H"           "X_H2"          "X_O"           "X_O2"          "X_OH"          "X_HO2"         "X_H2O2"        "X_H2O"         "X_AR"         
  "s"             "K"             "Pa"            "kg/m3"         "s"             "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"         
    0.000000        595.5177       0.9969164E+10    24179.24       0.1868192       0.3963727E-34   0.2814876E-15   0.6666997       0.3921821E-17   0.3332994       0.4402548E-13   0.7133943E-07   0.2947686E-06   0.5566501E-06    0.000000    
   0.5465873E-12    595.5177       0.9969164E+10    24179.24       0.1868192       0.3963726E-34   0.2814875E-15   0.6666997       0.3921821E-17   0.3332994       0.4402548E-13   0.7133943E-07   0.2947686E-06   0.5566501E-06    0.000000    
   0.1639762E-11    595.5177       0.9969164E+10    24179.24       0.1868192       0.3963724E-34   0.2814875E-15   0.6666997       0.3921821E-17   0.3332994       0.4402547E-13   0.7133943E-07   0.2947686E-06   0.5566501E-06    0.000000    
   0.3826111E-11    595.5177       0.9969164E+10    24179.24       0.1868192       0.3963727E-34   0.2814876E-15   0.6666997       0.3921821E-17   0.3332994       0.4402547E-13   0.7133943E-07   0.2947686E-06   0.5566501E-06    0.000000    
   0.8198809E-11    595.5177       0.9969164E+10    24179.24       0.1868192       0.3963724E-34   0.2814874E-15   0.6666997       0.3921821E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947686E-06   0.5566502E-06    0.000000    
   0.1694421E-10    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963724E-34   0.2814874E-15   0.6666997       0.3921821E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947687E-06   0.5566503E-06    0.000000    
   0.2568960E-10    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963724E-34   0.2814874E-15   0.6666997       0.3921821E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947688E-06   0.5566504E-06    0.000000    
   0.4318040E-10    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963724E-34   0.2814874E-15   0.6666997       0.3921820E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947689E-06   0.5566506E-06    0.000000    
   0.7816198E-10    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963723E-34   0.2814874E-15   0.6666997       0.3921820E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947691E-06   0.5566509E-06    0.000000    
   0.1481252E-09    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963723E-34   0.2814874E-15   0.6666997       0.3921819E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947696E-06   0.5566517E-06    0.000000    
   0.2880515E-09    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963722E-34   0.2814874E-15   0.6666997       0.3921819E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947705E-06   0.5566532E-06    0.000000    
   0.5679042E-09    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963722E-34   0.2814874E-15   0.6666997       0.3921819E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947723E-06   0.5566563E-06    0.000000    
   0.1127610E-08    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963722E-34   0.2814874E-15   0.6666997       0.3921819E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947760E-06   0.5566624E-06    0.000000    
   0.2247020E-08    595.5177       0.9969164E+10    24179.24       0.1868191       0.3963722E-34   0.2814874E-15   0.6666997       0.3921819E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947834E-06   0.5566746E-06    0.000000    
   0.4485842E-08    595.5177       0.9969164E+10    24179.24       0.1868192       0.3963722E-34   0.2814874E-15   0.6666997       0.3921819E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2947981E-06   0.5566990E-06    0.000000    
   0.8963485E-08    595.5177       0.9969164E+10    24179.24       0.1868192       0.3963723E-34   0.2814874E-15   0.6666997       0.3921819E-17   0.3332994       0.4402546E-13   0.7133943E-07   0.2948275E-06   0.5567478E-06    0.000000    
   0.1791877E-07    595.5177       0.9969164E+10    24179.24       0.1868192       0.3963724E-34   0.2814874E-15   0.6666997       0.3921819E-17   0.3332994       0.4402547E-13   0.7133943E-07   0.2948863E-06   0.5568454E-06    0.000000    
   0.3582934E-07    595.5177       0.9969164E+10    24179.24       0.1868192       0.3963725E-34   0.2814875E-15   0.6666997       0.3921820E-17   0.3332994       0.4402547E-13   0.7133944E-07   0.2950040E-06   0.5570406E-06    0.000000    
   0.7165049E-07    595.5177       0.9969164E+10    24179.24       0.1868193       0.3963728E-34   0.2814876E-15   0.6666997       0.3921821E-17   0.3332994       0.4402548E-13   0.7133945E-07   0.2952393E-06   0.5574310E-06    0.000000    
   0.1432928E-06    595.5177       0.9969165E+10    24179.24       0.1868194       0.3963734E-34   0.2814878E-15   0.6666997       0.3921824E-17   0.3332994       0.4402551E-13   0.7133948E-07   0.2957099E-06   0.5582118E-06    0.000000    
   0.2865774E-06    595.5177       0.9969165E+10    24179.24       0.1868196       0.3963745E-34   0.2814881E-15   0.6666997       0.3921830E-17   0.3332994       0.4402556E-13   0.7133952E-07   0.2966511E-06   0.5597734E-06    0.000000    
   0.5731465E-06    595.5178       0.9969166E+10    24179.24       0.1868201       0.3963769E-34   0.2814888E-15   0.6666997       0.3921842E-17   0.3332994       0.4402565E-13   0.7133962E-07   0.2985336E-06   0.5628966E-06    0.000000    
   0.8597157E-06    595.5178       0.9969166E+10    24179.24       0.1868205       0.3963792E-34   0.2814895E-15   0.6666997       0.3921853E-17   0.3332994       0.4402575E-13   0.7133971E-07   0.3004160E-06   0.5660198E-06    0.000000    
   0.1146285E-05    595.5179       0.9969167E+10    24179.24       0.1868210       0.3963815E-34   0.2814902E-15   0.6666997       0.3921864E-17   0.3332994       0.4402584E-13   0.7133980E-07   0.3022985E-06   0.5691431E-06    0.000000    
   0.1719423E-05    595.5180       0.9969169E+10    24179.24       0.1868219       0.3963862E-34   0.2814917E-15   0.6666997       0.3921887E-17   0.3332994       0.4402604E-13   0.7133999E-07   0.3060635E-06   0.5753896E-06    0.000000    
   0.2000000E-05    595.5180       0.9969170E+10    24179.24       0.1868224       0.3963885E-34   0.2814924E-15   0.6666997       0.3921899E-17   0.3332994       0.4402613E-13   0.7134008E-07   0.3079066E-06   0.5784475E-06    0.000000    
