  "Time"          "Temp"          "Pres"          "Dens"          "Th_MIX"        "X_OH*"         "X_H"           "X_H2"          "X_O"           "X_O2"          "X_OH"          "X_HO2"         "X_H2O2"        "X_H2O"         "X_AR"         
  "s"             "K"             "Pa"            "kg/m3"         "s"             "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"         
    0.000000        702.7152        172612.6       0.3547902      -0.4394468E-04    0.000000        0.000000       0.6667000        0.000000       0.3333000        0.000000        0.000000        0.000000        0.000000        0.000000    
   0.4801098E-15    702.7152        172612.6       0.3547902      -0.4394468E-04   0.3356372E-54   0.5391576E-24   0.6667000       0.3757153E-35   0.3333000       0.1170966E-19   0.5391168E-24   0.1453368E-38   0.4079748E-28    0.000000    
   0.1440329E-14    702.7152        172612.6       0.3547902      -0.4394468E-04   0.1822029E-53   0.1617572E-23   0.6667000       0.2039675E-34   0.3333000       0.3512898E-19   0.1617350E-23   0.7889710E-38   0.2214720E-27    0.000000    
   0.3360769E-14    702.7152        172612.6       0.3547902      -0.4394468E-04   0.8892184E-53   0.3774899E-23   0.6667000       0.9955257E-34   0.3333000       0.8196761E-19   0.3773818E-23   0.3850481E-37   0.1080868E-26    0.000000    
   0.7201647E-14    702.7152        172612.6       0.3547902      -0.4394468E-04   0.3863529E-52   0.8091448E-23   0.6667000       0.4326565E-33   0.3333000       0.1756449E-18   0.8086752E-23   0.1672988E-36   0.4696243E-26    0.000000    
   0.1488340E-13    702.7152        172612.6       0.3547902      -0.4394468E-04   0.1625112E-51   0.1673237E-22   0.6667000       0.1820776E-32   0.3333000       0.3629994E-18   0.1671262E-22   0.7037134E-36   0.1975393E-25    0.000000    
   0.3024692E-13    702.7152        172612.6       0.3547902      -0.4394467E-04   0.6675547E-51   0.3404550E-22   0.6667000       0.7486615E-32   0.3333000       0.7377084E-18   0.3396436E-22   0.2890727E-35   0.8114556E-25    0.000000    
   0.6097394E-13    702.7152        172612.6       0.3547902      -0.4394465E-04   0.2708446E-50   0.6879707E-22   0.6667000       0.3043461E-31   0.3333000       0.1487126E-17   0.6846784E-22   0.1172886E-34   0.3292406E-24    0.000000    
   0.1224280E-12    702.7152        172612.6       0.3547902      -0.4394462E-04   0.1091308E-49   0.1388015E-21   0.6667000       0.1231085E-30   0.3333000       0.2985962E-17   0.1374748E-21   0.4726220E-34   0.1326696E-23    0.000000    
   0.2453361E-12    702.7152        172612.6       0.3547902      -0.4394456E-04   0.4381123E-49   0.2808155E-21   0.6667000       0.4980739E-30   0.3333000       0.5983630E-17   0.2754888E-21   0.1897639E-33   0.5326854E-23    0.000000    
   0.4911523E-12    702.7152        172612.6       0.3547902      -0.4394443E-04   0.1755308E-48   0.5728643E-21   0.6667000       0.2026388E-29   0.3333000       0.1197896E-16   0.5515169E-21   0.7605098E-33   0.2134821E-22    0.000000    
   0.9827847E-12    702.7152        172612.6       0.3547902      -0.4394417E-04   0.7024034E-48   0.1189046E-20   0.6667000       0.8355828E-29   0.3333000       0.2396959E-16   0.1103574E-20   0.3044981E-32   0.8547516E-22    0.000000    
   0.1966050E-11    702.7152        172612.6       0.3547902      -0.4394365E-04   0.2807797E-47   0.2549743E-20   0.6667000       0.3538007E-28   0.3333000       0.4795071E-16   0.2207690E-20   0.1218587E-31   0.3420655E-21    0.000000    
   0.3932579E-11    702.7152        172612.6       0.3547902      -0.4394262E-04   0.1120855E-46   0.5784465E-20   0.6667000       0.1570827E-27   0.3333000       0.9591245E-16   0.4415933E-20   0.4875563E-31   0.1368587E-20    0.000000    
   0.7865639E-11    702.7152        172612.6       0.3547902      -0.4394055E-04   0.4463796E-46   0.1430717E-19   0.6667000       0.7526435E-27   0.3333000       0.1918339E-15   0.8832483E-20   0.1950490E-30   0.5474953E-20    0.000000    
   0.1573176E-10    702.7152        172612.6       0.3547902      -0.4393641E-04   0.1769686E-45   0.3956518E-19   0.6667000       0.4004665E-26   0.3333000       0.3836685E-15   0.1766594E-19   0.7802693E-30   0.2190065E-19    0.000000    
   0.3146399E-10    702.7152        172612.6       0.3547902      -0.4392813E-04   0.6954483E-45   0.1229281E-18   0.6667000       0.2396995E-25   0.3333000       0.7673049E-15   0.3533523E-19   0.3121445E-29   0.8760129E-19    0.000000    
   0.6292847E-10    702.7152        172612.6       0.3547902      -0.4391158E-04   0.2686892E-44   0.4210131E-18   0.6667000       0.1594776E-24   0.3333000       0.1534446E-14   0.7069058E-19   0.1248923E-28   0.3503787E-18    0.000000    
   0.1258574E-09    702.7152        172612.6       0.3547902      -0.4387848E-04   0.1005516E-43   0.1542394E-17   0.6667000       0.1146511E-23   0.3333000       0.3068204E-14   0.1415270E-18   0.5000047E-28   0.1401271E-17    0.000000    
