  "Time"          "Temp"          "Pres"          "Dens"          "Th_MIX"        "X_OH*"         "X_H"           "X_H2"          "X_O"           "X_O2"          "X_OH"          "X_HO2"         "X_H2O2"        "X_H2O"         "X_AR"         
  "s"             "K"             "Pa"            "kg/m3"         "s"             "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"         
    0.000000        702.7152        172612.6       0.3547902       0.2454560E-03   0.3867543E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557052E-09   0.1442846E-13   0.3656717E-09    0.000000    
   0.1673910E-12    702.7152        172612.6       0.3547902       0.2454560E-03   0.3867543E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557052E-09   0.1442846E-13   0.3656717E-09    0.000000    
   0.5021729E-12    702.7152        172612.6       0.3547902       0.2454560E-03   0.3867543E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557052E-09   0.1442846E-13   0.3656717E-09    0.000000    
   0.1171737E-11    702.7152        172612.6       0.3547902       0.2454560E-03   0.3867543E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557052E-09   0.1442846E-13   0.3656717E-09    0.000000    
   0.2510864E-11    702.7152        172612.6       0.3547901       0.2454560E-03   0.3867543E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557053E-09   0.1442847E-13   0.3656718E-09    0.000000    
   0.5189120E-11    702.7151        172612.5       0.3547901       0.2454560E-03   0.3867543E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557053E-09   0.1442847E-13   0.3656718E-09    0.000000    
   0.1054563E-10    702.7150        172612.5       0.3547900       0.2454560E-03   0.3867543E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557055E-09   0.1442848E-13   0.3656720E-09    0.000000    
   0.2125865E-10    702.7149        172612.3       0.3547898       0.2454561E-03   0.3867543E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557057E-09   0.1442850E-13   0.3656722E-09    0.000000    
   0.4268469E-10    702.7146        172612.0       0.3547893       0.2454562E-03   0.3867542E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557063E-09   0.1442855E-13   0.3656728E-09    0.000000    
   0.8553678E-10    702.7139        172611.5       0.3547885       0.2454564E-03   0.3867537E-29   0.9682267E-11   0.6667000       0.3176882E-12   0.3333000       0.3399591E-11   0.3557073E-09   0.1442863E-13   0.3656738E-09    0.000000    
