  "Time"          "Temp"          "Pres"          "Dens"          "Th_MIX"        "X_OH*"         "X_H"           "X_H2"          "X_O"           "X_O2"          "X_OH"          "X_HO2"         "X_H2O2"        "X_H2O"         "X_AR"         
  "s"             "K"             "Pa"            "kg/m3"         "s"             "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"         
    0.000000        3552.247        982936.7       0.4793553        2583.408       0.2864722E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405763E-04   0.5247280        0.000000    
   0.3159311E-14    3552.247        982936.7       0.4793553        2583.409       0.2864722E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405763E-04   0.5247280        0.000000    
   0.9477932E-14    3552.247        982936.7       0.4793553        2583.410       0.2864722E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405763E-04   0.5247280        0.000000    
   0.2211517E-13    3552.247        982936.7       0.4793553        2583.413       0.2864722E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405763E-04   0.5247280        0.000000    
   0.4738966E-13    3552.247        982936.7       0.4793553        2583.418       0.2864722E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405763E-04   0.5247280        0.000000    
   0.9793863E-13    3552.247        982936.7       0.4793553        2583.429       0.2864722E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405762E-04   0.5247280        0.000000    
   0.1990366E-12    3552.247        982936.7       0.4793553        2583.451       0.2864722E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405762E-04   0.5247280        0.000000    
   0.4012324E-12    3552.247        982936.7       0.4793553        2583.495       0.2864721E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405760E-04   0.5247280        0.000000    
   0.8056242E-12    3552.247        982936.7       0.4793553        2583.581       0.2864721E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405757E-04   0.5247280        0.000000    
   0.1614408E-11    3552.247        982936.7       0.4793553        2583.746       0.2864719E-06   0.8616468E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405752E-04   0.5247280        0.000000    
   0.3231975E-11    3552.247        982936.7       0.4793553        2584.057       0.2864716E-06   0.8616467E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405740E-04   0.5247280        0.000000    
   0.4849542E-11    3552.247        982936.7       0.4793553        2584.342       0.2864713E-06   0.8616467E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410754E-03   0.1405730E-04   0.5247280        0.000000    
   0.6467109E-11    3552.247        982936.7       0.4793553        2584.600       0.2864711E-06   0.8616467E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410753E-03   0.1405720E-04   0.5247280        0.000000    
   0.8084676E-11    3552.247        982936.7       0.4793553        2584.833       0.2864708E-06   0.8616467E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410753E-03   0.1405710E-04   0.5247281        0.000000    
   0.1131981E-10    3552.247        982936.8       0.4793553        2585.230       0.2864703E-06   0.8616467E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410753E-03   0.1405691E-04   0.5247281        0.000000    
   0.1455494E-10    3552.247        982936.8       0.4793553        2585.539       0.2864698E-06   0.8616467E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410752E-03   0.1405675E-04   0.5247281        0.000000    
   0.1779008E-10    3552.247        982936.8       0.4793553        2585.769       0.2864693E-06   0.8616467E-01   0.1646945       0.4017207E-01   0.5022407E-01   0.1338612       0.1410752E-03   0.1405659E-04   0.5247281        0.000000    
