  "Time"          "Temp"          "Pres"          "Dens"          "Th_MIX"        "X_OH*"         "X_H"           "X_H2"          "X_O"           "X_O2"          "X_OH"          "X_HO2"         "X_H2O2"        "X_H2O"         "X_AR"         
  "s"             "K"             "Pa"            "kg/m3"         "s"             "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"          "none"         
    0.000000        798.8459       0.1209546E+11    21869.45       -67.90107       0.6760078E-34   0.3490717E-15   0.6666999       0.5071204E-17   0.3332999       0.5449088E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.2914685E-21    798.8459       0.1209546E+11    21869.45       -67.90107       0.6760079E-34   0.3490718E-15   0.6666999       0.5071204E-17   0.3332999       0.5449090E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.8744054E-21    798.8459       0.1209546E+11    21869.45       -67.90107       0.6760081E-34   0.3490719E-15   0.6666999       0.5071204E-17   0.3332999       0.5449092E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.2040279E-20    798.8459       0.1209546E+11    21869.45       -67.90107       0.6760085E-34   0.3490721E-15   0.6666999       0.5071204E-17   0.3332999       0.5449097E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.4372027E-20    798.8459       0.1209546E+11    21869.45       -67.90107       0.6760092E-34   0.3490726E-15   0.6666999       0.5071204E-17   0.3332999       0.5449107E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.9035522E-20    798.8459       0.1209546E+11    21869.45       -67.90107       0.6760107E-34   0.3490735E-15   0.6666999       0.5071204E-17   0.3332999       0.5449127E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.1836251E-19    798.8459       0.1209546E+11    21869.45       -67.90107       0.6760137E-34   0.3490754E-15   0.6666999       0.5071204E-17   0.3332999       0.5449168E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.3701649E-19    798.8459       0.1209546E+11    21869.45       -67.90107       0.6760197E-34   0.3490791E-15   0.6666999       0.5071204E-17   0.3332999       0.5449249E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.7432445E-19    798.8459       0.1209546E+11    21869.45       -67.90106       0.6760317E-34   0.3490865E-15   0.6666999       0.5071204E-17   0.3332999       0.5449410E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.1489404E-18    798.8459       0.1209546E+11    21869.45       -67.90105       0.6760557E-34   0.3491014E-15   0.6666999       0.5071204E-17   0.3332999       0.5449733E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.2981722E-18    798.8459       0.1209546E+11    21869.45       -67.90103       0.6761037E-34   0.3491311E-15   0.6666999       0.5071205E-17   0.3332999       0.5450379E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.5966359E-18    798.8459       0.1209546E+11    21869.45       -67.90098       0.6761996E-34   0.3491905E-15   0.6666999       0.5071205E-17   0.3332999       0.5451670E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.1193563E-17    798.8459       0.1209546E+11    21869.45       -67.90090       0.6763915E-34   0.3493094E-15   0.6666999       0.5071205E-17   0.3332999       0.5454253E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.2387418E-17    798.8459       0.1209546E+11    21869.45       -67.90072       0.6767755E-34   0.3495471E-15   0.6666999       0.5071207E-17   0.3332999       0.5459420E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.4775128E-17    798.8459       0.1209546E+11    21869.45       -67.90036       0.6775444E-34   0.3500227E-15   0.6666999       0.5071209E-17   0.3332999       0.5469753E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.9550547E-17    798.8459       0.1209546E+11    21869.45       -67.89965       0.6790855E-34   0.3509742E-15   0.6666999       0.5071213E-17   0.3332999       0.5490418E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.1910138E-16    798.8459       0.1209546E+11    21869.45       -67.89823       0.6821811E-34   0.3528787E-15   0.6666999       0.5071223E-17   0.3332999       0.5531749E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.3820306E-16    798.8459       0.1209546E+11    21869.45       -67.89537       0.6884255E-34   0.3566940E-15   0.6666999       0.5071241E-17   0.3332999       0.5614410E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.7640641E-16    798.8459       0.1209546E+11    21869.45       -67.88967       0.7011275E-34   0.3643494E-15   0.6666999       0.5071279E-17   0.3332999       0.5779728E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
   0.1528131E-15    798.8459       0.1209546E+11    21869.45       -67.87821       0.7273826E-34   0.3797587E-15   0.6666999       0.5071359E-17   0.3332999       0.6110350E-13   0.5623424E-07   0.9398935E-08   0.6935129E-07    0.000000    
